Title,nonfungibleness,transferrable,Generation,Generative,ownership_period,OnChain,Category,Format,Type,Interactive,Animated,Website,OpenSea,Twitter,Contract,image,Detail,Network,Date
PixelGlyphs,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,PFP,Visual,Still images,FALSE,FALSE,https://www.pixelglyphs.io/,https://opensea.io/collection/pixelglyphs,https://twitter.com/PixelGlyphs,https://etherscan.io/address/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6,,cellular automaton algorithm,Ethereum,"July 18, 2021"
thedudes,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,PFP,Visual,Animated visuals,TRUE,TRUE,https://thedudes.art/,https://opensea.io/collection/thedudes,https://twitter.com/thedudesnft,https://etherscan.io/address/0xb0cf7da8dc482997525be8488b9cad4f44315422,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/thedudes.gif,,Ethereum,"July 23, 2021"
Fluf World,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,PFP,Audiovisual,Videos with audios,FALSE,TRUE,https://fluf.world/,https://opensea.io/collection/fluf-world,https://twitter.com/FLUF_World,https://etherscan.io/address/0xccc441ac31f02cd96c153db6fd5fe0a2f4e6a68d,,3d animation,Ethereum,"August 5, 2021"
Generativemasks,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,Art,Visual,Ever-changing images,FALSE,FALSE,https://generativemasks.on.fleek.co/#/,https://opensea.io/collection/generativemasks,https://twitter.com/generativemasks,https://etherscan.io/address/0x80416304142fa37929f8a4eee83ee7d2dac12d7c,,dynamic image,Ethereum,"August 8, 2021"
HeavenComputer,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Visual,Silent videos,FALSE,TRUE,https://heaven.computer/,https://opensea.io/collection/heavencomputer,https://twitter.com/heaven_computer,https://etherscan.io/address/0x80adb36595239fe918c7d118c1f81e07d070801a,,3d animation,Ethereum,"August 15, 2021"
Audioglyphs,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Audiovisual,Audio beats,FALSE,TRUE,https://www.audioglyphs.io/,https://opensea.io/collection/audioglyphs,https://twitter.com/audioglyphs,https://etherscan.io/address/0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,,infinite music,Ethereum,"August 16, 2021"
Art Blocks Playground: Beatboxes,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,Art,Audiovisual,Immersive VR,TRUE,TRUE,https://artblocks.io/project/145,https://opensea.io/collection/art-blocks-playground?search[stringTraits][0][name]=Beatboxes&search[stringTraits][0][values][0]=All%20Beatboxes,https://twitter.com/artblocks_io,https://etherscan.io/address/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,,,Ethereum,"August 26, 2021"
Loot,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Meta,Textual,Composable,FALSE,FALSE,https://www.lootproject.com/,https://opensea.io/collection/lootproject,https://twitter.com/lootproject,https://etherscan.io/address/0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/Loot.png,,Ethereum,"August 27, 2021"
The n project,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Meta,Textual,Composable,FALSE,FALSE,https://twitter.com/the_n_project_,https://opensea.io/collection/n-project,https://twitter.com/the_n_project_,https://etherscan.io/address/0x05a46f1e545526fb803ff974c790acea34d1f2d6,,,Ethereum,"September 3, 2021"
Colorverse,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Meta,Visual,Composable,FALSE,FALSE,colorverse.io,https://opensea.io/collection/colorverse-tokens-rgb,https://twitter.com/colorverse_NFT,https://etherscan.io/address/0xfee27fb71ae3feeef2c11f8e02037c42945e87c4,,,Ethereum,"March 04, 2021"
0xmons,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,Art,Visual,Animated visuals,FALSE,TRUE,https://0xmons.xyz/,https://opensea.io/collection/0xmons-xyz,https://twitter.com/0xmons,https://etherscan.io/address/0x0427743df720801825a5c82e0582b1e915e0f750,,,Ethereum,"December 27, 2020"
TinyBoxes,Fully nonfungible,TRUE,User-created,FALSE,Forever,TRUE,Art,Visual,Animated visuals,FALSE,TRUE,https://tinybox.shop/,https://opensea.io/collection/tinyboxes,https://twitter.com/tinyboxesETH,https://etherscan.io/address/0x46f9a4522666d2476a5f5cd51ea3e0b5800e7f98,,,Ethereum,"January 29, 2021"
Squiggly,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Visual,Still images,FALSE,FALSE,https://www.squiggly.wtf/,https://opensea.io/collection/squiggly,https://twitter.com/natealexnft,https://etherscan.io/address/0x36f379400de6c6bcdf4408b282f8b685c56adc60,,,Ethereum,"October 2, 2020"
WORD,Fully nonfungible,TRUE,Generative,FALSE,Forever,TRUE,Meta,Textual,Composable,FALSE,FALSE,https://ethwords.co/,https://opensea.io/collection/word,https://twitter.com/WordsOnEth,https://etherscan.io/address/0xac1aee5027fcc98d40a26588ac0841a44f53a8fe,,,Ethereum,"January 2, 2020"
MATH,Fully nonfungible,TRUE,Generative,FALSE,Forever,TRUE,Meta,Textual,Composable,FALSE,FALSE,https://etherscan.io/dapp/0x6b4fccdd888bb6fd3934a9e49ef64dfd2c0d8e6d,https://opensea.io/collection/math,https://twitter.com/alxocity,https://etherscan.io/address/0x6b4fccdd888bb6fd3934a9e49ef64dfd2c0d8e6d,,,Ethereum,"December 31, 2019"
Spells of Genesis,Semi-fungible,TRUE,Curated,FALSE,Forever,FALSE,Game,Visual,Still images,FALSE,FALSE,https://spellsofgenesis.com/,https://opensea.io/assets?search[collections][0]=emblem-vault-matic&search[collections][1]=emblem-vault&search[sortAscending]=true&search[sortBy]=PRICE&search[stringTraits][0][name]=Spells%20of%20Genesis&search[stringTraits][0][values][0]=All%20Spells%20of%20Genesis,https://twitter.com/SpellsofGenesis,https://xchain.io/address/14C7kaCiiwCs13hHDdNBH8bmBeLehZDEcx,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/spells%20of%20genesis.jpeg,,Counterparty,"March 11, 2015"
Rare Pepes,Semi-fungible,TRUE,Curated,FALSE,Forever,FALSE,Art,Visual,,FALSE,FALSE,https://pepe.wtf/,https://opensea.io/assets?search[collections][0]=emblem-vault-matic&search[collections][1]=emblem-vault&search[sortAscending]=true&search[sortBy]=PRICE&search[stringTraits][0][name]=Year&search[stringTraits][0][values][0]=2016&search[stringTraits][1][name]=Rare%20Pepe&search[stringTraits][1][values][0]=All%20Rare%20Pepe,https://twitter.com/pepe,https://xchain.io/address/1MfKfw7in5KaGbhFY55SbGrLVyEka2Lf6e,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/rare%20pepes.jpeg,,Counterparty,"September 9, 2016"
Eggs,Semi-fungible,TRUE,Curated,FALSE,Expiring,FALSE,Collectible,Visual,Still images,FALSE,FALSE,https://eggmuseum.org/,https://opensea.io/assets?search[collections][0]=emblem-vault&search[collections][1]=emblem-vault-matic&search[sortAscending]=true&search[sortBy]=PRICE&search[stringTraits][0][name]=Twitter%20Eggs&search[stringTraits][0][values][0]=All%20Twitter%20Eggs,https://twitter.com/Eggs_Namecoin,https://namebrow.se/name/u/loopman/,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/twitter%20eggs.png,,Namecoin,"July 27, 2014"
Blockheads,Fully nonfungible,TRUE,Curated,FALSE,Expiring,FALSE,PFP,Visual,Still images,FALSE,FALSE,https://web.archive.org/web/20140517065753/http://eightbit.me/,https://opensea.io/assets?search[collections][0]=emblem-vault&search[collections][1]=emblem-vault-matic&search[sortAscending]=true&search[sortBy]=PRICE&search[stringTraits][0][name]=Blockhead&search[stringTraits][0][values][0]=All%20Blockhead,,https://namebrow.se/name/u/aoberoi/,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/blockheads.png,"Blockheads are among the earliest NFTs in blockchain history. They exist on Namecoin, the first fork of Bitcoin. Some early crypto users utilized an app called Onename to lock their profiles into the blockchain forever. In total less than 50 Blockheads were created. They are one of the first profile picture NFT collectables and can be seen as the precursor of Cryptopunks.",Namecoin,"March 10, 2014"
Sound Tracks,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,Art,Audiovisual,Music,FALSE,FALSE,https://linktr.ee/STartGallery,https://opensea.io/collection/sound-tracks,https://twitter.com/STartGalleryEth,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,,,Ethereum,"July 22, 2021"
Tokenized names,Semi-fungible,TRUE,User-created,FALSE,Forever,TRUE,Collectible,Textual,Token only,FALSE,FALSE,,https://opensea.io/assets/emblem-vault?search[stringTraits][0][name]=XCP&search[stringTraits][0][values][0]=TEST&search[sortAscending]=true&search[sortBy]=PRICE,,https://xchain.io/asset/TEST,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/Test.png,,Counterparty,"January 13, 2014"
Monegraph,Fully nonfungible,TRUE,User-created,FALSE,Expiring,FALSE,Art,Visual,Still images,FALSE,FALSE,https://monegraph.com/,,https://twitter.com/monegraph,https://namebrow.se/name/d41b8540cbacdf1467cdc5d17316dcb672c8b43235fa16cde98e79825b68709a/,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/quantum.gif,,Namecoin,"May 2, 2014"
Aworld,Fully nonfungible,TRUE,Curated,FALSE,Forever,FALSE,PFP,Visual,Still images,FALSE,FALSE,https://www.aworld.vip/,https://opensea.io/collection/aworld,https://twitter.com/Aworld_NFT,https://etherscan.io/address/0x9dd89b365a447c7673cb4495e9ddf7fdac36d072,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/aworld.png,,Ethereum,"August 19, 2021"
